beta,k,alpha,dev_accuracy_mean,dev_accuracy_std,edge_purity,component_coverage,unreachable_mean,iterations_mean
0.03000000,30,0.99000000,0.22150000,0.02345800,0.47841440,1.00000000,0.00000000,70.20000000
0.03000000,50,0.50000000,0.38200000,0.03780065,0.44682765,1.00000000,0.00000000,9.90000000
0.03000000,50,0.80000000,0.38400000,0.03348300,0.44682765,1.00000000,0.00000000,19.90000000
0.03000000,50,0.90000000,0.36850000,0.02799305,0.44682765,1.00000000,0.00000000,29.10000000
0.03000000,50,0.95000000,0.35150000,0.02728960,0.44682765,1.00000000,0.00000000,41.50000000
0.03000000,50,0.99000000,0.20100000,0.03160520,0.44682765,1.00000000,0.00000000,64.40000000
0.10000000,5,0.50000000,0.33600000,0.03080404,0.63027108,1.00000000,0.00000000,13.40000000
0.10000000,5,0.80000000,0.35200000,0.02311805,0.63027108,1.00000000,0.00000000,32.50000000
0.10000000,5,0.90000000,0.36300000,0.02213594,0.63027108,1.00000000,0.00000000,54.40000000
0.10000000,5,0.95000000,0.36500000,0.02571208,0.63027108,1.00000000,0.00000000,80.50000000
0.10000000,5,0.99000000,0.28950000,0.03700225,0.63027108,1.00000000,0.00000000,137.90000000
0.10000000,10,0.50000000,0.36850000,0.04275577,0.56832825,1.00000000,0.00000000,12.10000000
0.10000000,10,0.80000000,0.38950000,0.04099119,0.56832825,1.00000000,0.00000000,26.00000000
0.10000000,10,0.90000000,0.39500000,0.03620927,0.56832825,1.00000000,0.00000000,38.40000000
0.10000000,10,0.95000000,0.38800000,0.03359894,0.56832825,1.00000000,0.00000000,55.90000000
0.10000000,10,0.99000000,0.24750000,0.03146868,0.56832825,1.00000000,0.00000000,93.00000000
0.10000000,15,0.50000000,0.37900000,0.03857172,0.53859727,1.00000000,0.00000000,11.40000000
0.10000000,15,0.80000000,0.39600000,0.03914361,0.53859727,1.00000000,0.00000000,22.30000000
0.10000000,15,0.90000000,0.40050000,0.04206146,0.53859727,1.00000000,0.00000000,32.30000000
0.10000000,15,0.95000000,0.38300000,0.04056545,0.53859727,1.00000000,0.00000000,44.50000000
0.10000000,15,0.99000000,0.23600000,0.02221111,0.53859727,1.00000000,0.00000000,69.20000000
0.10000000,20,0.50000000,0.38600000,0.03956710,0.51110745,1.00000000,0.00000000,10.70000000
0.10000000,20,0.80000000,0.40850000,0.04813465,0.51110745,1.00000000,0.00000000,20.40000000
0.10000000,20,0.90000000,0.40550000,0.04310517,0.51110745,1.00000000,0.00000000,29.40000000
0.10000000,20,0.95000000,0.38250000,0.04124790,0.51110745,1.00000000,0.00000000,41.80000000
0.10000000,20,0.99000000,0.23300000,0.02359378,0.51110745,1.00000000,0.00000000,65.10000000
0.10000000,30,0.50000000,0.40000000,0.05792716,0.48358010,1.00000000,0.00000000,10.00000000
0.10000000,30,0.80000000,0.40100000,0.05420127,0.48358010,1.00000000,0.00000000,19.70000000
0.10000000,30,0.90000000,0.39550000,0.04901530,0.48358010,1.00000000,0.00000000,28.30000000
0.10000000,30,0.95000000,0.36350000,0.03432281,0.48358010,1.00000000,0.00000000,40.10000000
0.10000000,30,0.99000000,0.22900000,0.02988868,0.48358010,1.00000000,0.00000000,60.50000000
0.10000000,50,0.50000000,0.40500000,0.03566822,0.45170359,1.00000000,0.00000000,9.80000000
0.10000000,50,0.80000000,0.40250000,0.03293512,0.45170359,1.00000000,0.00000000,18.90000000
0.10000000,50,0.90000000,0.38650000,0.03407916,0.45170359,1.00000000,0.00000000,27.30000000
0.10000000,50,0.95000000,0.34950000,0.01950071,0.45170359,1.00000000,0.00000000,38.10000000
0.10000000,50,0.99000000,0.19950000,0.02650472,0.45170359,1.00000000,0.00000000,55.50000000
0.30000000,5,0.50000000,0.33350000,0.02635758,0.61082283,1.00000000,0.00000000,13.30000000
0.30000000,5,0.80000000,0.34800000,0.02417529,0.61082283,1.00000000,0.00000000,32.00000000
0.30000000,5,0.90000000,0.35650000,0.02261391,0.61082283,1.00000000,0.00000000,51.50000000
0.30000000,5,0.95000000,0.35850000,0.01811230,0.61082283,1.00000000,0.00000000,73.00000000
0.30000000,5,0.99000000,0.27500000,0.03448027,0.61082283,1.00000000,0.00000000,123.20000000
0.30000000,10,0.50000000,0.34800000,0.03838402,0.54236718,1.00000000,0.00000000,11.80000000
0.30000000,10,0.80000000,0.36000000,0.04075673,0.54236718,1.00000000,0.00000000,24.00000000
0.30000000,10,0.90000000,0.36000000,0.03901567,0.54236718,1.00000000,0.00000000,34.30000000
0.30000000,10,0.95000000,0.36000000,0.03659083,0.54236718,1.00000000,0.00000000,48.20000000
0.30000000,10,0.99000000,0.23450000,0.04159661,0.54236718,1.00000000,0.00000000,74.30000000
0.30000000,15,0.50000000,0.35550000,0.04518173,0.51477072,1.00000000,0.00000000,11.00000000
0.30000000,15,0.80000000,0.37100000,0.04402020,0.51477072,1.00000000,0.00000000,21.20000000
0.30000000,15,0.90000000,0.36750000,0.04565876,0.51477072,1.00000000,0.00000000,30.20000000
0.30000000,15,0.95000000,0.35750000,0.04578027,0.51477072,1.00000000,0.00000000,41.10000000
0.30000000,15,0.99000000,0.22500000,0.03582364,0.51477072,1.00000000,0.00000000,59.90000000
0.30000000,20,0.50000000,0.37300000,0.03560587,0.49802437,1.00000000,0.00000000,10.20000000
0.30000000,20,0.80000000,0.38650000,0.03590497,0.49802437,1.00000000,0.00000000,19.40000000
0.30000000,20,0.90000000,0.38050000,0.03685181,0.49802437,1.00000000,0.00000000,27.50000000
0.30000000,20,0.95000000,0.35050000,0.03854651,0.49802437,1.00000000,0.00000000,38.40000000
0.30000000,20,0.99000000,0.22950000,0.02692067,0.49802437,1.00000000,0.00000000,56.20000000
0.30000000,30,0.50000000,0.37250000,0.04118050,0.47348735,1.00000000,0.00000000,9.90000000
0.30000000,30,0.80000000,0.38350000,0.03837317,0.47348735,1.00000000,0.00000000,18.20000000
0.30000000,30,0.90000000,0.37400000,0.03942644,0.47348735,1.00000000,0.00000000,26.60000000
0.30000000,30,0.95000000,0.33250000,0.02917857,0.47348735,1.00000000,0.00000000,36.50000000
0.30000000,30,0.99000000,0.21950000,0.02431849,0.47348735,1.00000000,0.00000000,51.70000000
0.30000000,50,0.50000000,0.37850000,0.02779388,0.44267238,1.00000000,0.00000000,9.00000000
0.30000000,50,0.80000000,0.37500000,0.03257470,0.44267238,1.00000000,0.00000000,17.50000000
0.30000000,50,0.90000000,0.35750000,0.03111359,0.44267238,1.00000000,0.00000000,25.60000000
0.30000000,50,0.95000000,0.31100000,0.02816617,0.44267238,1.00000000,0.00000000,34.60000000
0.30000000,50,0.99000000,0.18750000,0.01947220,0.44267238,1.00000000,0.00000000,47.10000000
1.00000000,5,0.50000000,0.29900000,0.03649962,0.55632184,1.00000000,0.00000000,13.40000000
1.00000000,5,0.80000000,0.31650000,0.03559416,0.55632184,1.00000000,0.00000000,32.00000000
1.00000000,5,0.90000000,0.32500000,0.02838231,0.55632184,1.00000000,0.00000000,51.80000000
1.00000000,5,0.95000000,0.33150000,0.02887232,0.55632184,1.00000000,0.00000000,74.00000000
1.00000000,5,0.99000000,0.25700000,0.03637765,0.55632184,1.00000000,0.00000000,113.60000000
1.00000000,10,0.50000000,0.33850000,0.03543774,0.50692042,1.00000000,0.00000000,11.80000000
1.00000000,10,0.80000000,0.35150000,0.03257896,0.50692042,1.00000000,0.00000000,23.10000000
1.00000000,10,0.90000000,0.35250000,0.02898755,0.50692042,1.00000000,0.00000000,32.20000000
1.00000000,10,0.95000000,0.34650000,0.02963200,0.50692042,1.00000000,0.00000000,42.30000000
1.00000000,10,0.99000000,0.23350000,0.03496427,0.50692042,1.00000000,0.00000000,64.00000000
1.00000000,15,0.50000000,0.33900000,0.01523884,0.47753064,1.00000000,0.00000000,10.80000000
1.00000000,15,0.80000000,0.35200000,0.01456785,0.47753064,1.00000000,0.00000000,20.40000000
1.00000000,15,0.90000000,0.35500000,0.02592725,0.47753064,1.00000000,0.00000000,28.30000000
1.00000000,15,0.95000000,0.34250000,0.03599769,0.47753064,1.00000000,0.00000000,38.90000000
1.00000000,15,0.99000000,0.22200000,0.03392803,0.47753064,1.00000000,0.00000000,57.40000000
1.00000000,20,0.50000000,0.36150000,0.02404279,0.45658784,1.00000000,0.00000000,10.10000000
1.00000000,20,0.80000000,0.37400000,0.02590581,0.45658784,1.00000000,0.00000000,19.00000000
1.00000000,20,0.90000000,0.37150000,0.02381060,0.45658784,1.00000000,0.00000000,26.90000000
1.00000000,20,0.95000000,0.34600000,0.03107339,0.45658784,1.00000000,0.00000000,37.70000000
1.00000000,20,0.99000000,0.22250000,0.03075440,0.45658784,1.00000000,0.00000000,54.00000000
1.00000000,30,0.50000000,0.37150000,0.03232216,0.43146400,1.00000000,0.00000000,9.80000000
1.00000000,30,0.80000000,0.37750000,0.03048224,0.43146400,1.00000000,0.00000000,18.00000000
1.00000000,30,0.90000000,0.37450000,0.02985614,0.43146400,1.00000000,0.00000000,26.00000000
1.00000000,30,0.95000000,0.33600000,0.02875181,0.43146400,1.00000000,0.00000000,35.80000000
1.00000000,30,0.99000000,0.21650000,0.02068950,0.43146400,1.00000000,0.00000000,49.90000000
1.00000000,50,0.50000000,0.37350000,0.01667500,0.40085200,1.00000000,0.00000000,9.00000000
1.00000000,50,0.80000000,0.37700000,0.02507766,0.40085200,1.00000000,0.00000000,17.40000000
1.00000000,50,0.90000000,0.36300000,0.02540779,0.40085200,1.00000000,0.00000000,25.00000000
1.00000000,50,0.95000000,0.31400000,0.02786874,0.40085200,1.00000000,0.00000000,33.50000000
1.00000000,50,0.99000000,0.18700000,0.01735255,0.40085200,1.00000000,0.00000000,45.10000000
