embedding_label,beta,k,alpha,num_folds,dev_accuracy_mean,dev_accuracy_std,dev_macro_f1_mean,dev_macro_f1_std,dev_accuracy_reachable_mean,dev_accuracy_reachable_std,dev_unreachable_count_mean,dev_unreachable_count_std,edge_purity_mean,edge_purity_std,edge_purity_fold_mean,edge_purity_fold_std,component_label_coverage_mean,component_label_coverage_std,num_components_mean,num_components_std,largest_component_fraction_mean,largest_component_fraction_std,unreachable_count_mean,unreachable_count_std,unreachable_fraction_mean,unreachable_fraction_std,iterations_mean,iterations_std,final_delta_mean,final_delta_std,converged_mean,converged_std,confidence_mean_mean,confidence_mean_std,graph_seconds_mean,graph_seconds_std,fold_seconds_mean,fold_seconds_std
beta=0.003,0.003,5,0.95,10,0.365,0.019436506316151,0.34930743391440033,0.01838823495123157,0.3651884422110553,0.019553017340987786,0.1,0.31622776601683794,0.591743119266055,0.0,0.5834746382663469,0.08755876352670859,0.9999542857142856,2.4093544077477398e-05,2.0,0.0,0.9999428571428572,1.1702778228589004e-16,4.8,2.5298221281347035,4.5714285714285716e-05,2.4093544077473366e-05,80.6,15.629032812898778,9.488314390182495e-07,3.5560861414995496e-08,1.0,0.0,0.2610097807121421,0.002902376520712172,0.3676004409790039,0.0,0.0430938720703125,0.05021938333889024
beta=0.003,0.003,5,0.99,10,0.285,0.035512126254437525,0.2550128201493149,0.03819975451780847,0.28516080402010047,0.035691408907201544,0.1,0.31622776601683794,0.591743119266055,0.0,0.5834746382663469,0.08755876352670859,0.9999542857142856,2.4093544077477398e-05,2.0,0.0,0.9999428571428572,1.1702778228589004e-16,4.8,2.5298221281347035,4.5714285714285716e-05,2.4093544077473366e-05,157.1,51.65365427537533,9.84218786470592e-07,1.1905954967938037e-08,1.0,0.0,0.1650648944496306,0.006394983710224679,0.3676004409790039,0.0,0.031203866004943848,0.007919361199601144
beta=0.003,0.003,10,0.5,10,0.365,0.03082207001484488,0.3556701283036446,0.029691453739170023,0.365,0.03082207001484488,0.0,0.0,0.5393338058114814,1.1702778228589004e-16,0.5229065708580933,0.05723699070693987,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.2,0.4216370213557839,5.979090929031372e-07,1.7401753930240104e-07,1.0,0.0,0.5076111486773335,0.003382570430868787,0.37027549743652344,0.0,0.010298824310302735,0.0006108553677218308
beta=0.003,0.003,10,0.8,10,0.38649999999999995,0.03636619309193636,0.3730682055023526,0.03583670456331435,0.38649999999999995,0.03636619309193636,0.0,0.0,0.5393338058114814,1.1702778228589004e-16,0.5229065708580933,0.05723699070693987,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.5,3.5668224265054493,8.648261427879334e-07,8.924318895396435e-08,1.0,0.0,0.3692275957900144,0.0035773217382550774,0.37027549743652344,0.0,0.029244351387023925,0.03430185788995233
beta=0.003,0.003,10,0.9,10,0.3865,0.03559416306705981,0.3711335943001597,0.037343709378932013,0.3865,0.03559416306705981,0.0,0.0,0.5393338058114814,1.1702778228589004e-16,0.5229065708580933,0.05723699070693987,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,41.2,10.39016629104441,8.973758667707443e-07,6.619981157067655e-08,1.0,0.0,0.2935462509652617,0.0036065102006808195,0.37027549743652344,0.0,0.047767353057861325,0.070632841663044
beta=0.003,0.003,10,0.95,10,0.37699999999999995,0.030294847380004694,0.3582191519818029,0.03255568162527094,0.37699999999999995,0.030294847380004694,0.0,0.0,0.5393338058114814,1.1702778228589004e-16,0.5229065708580933,0.05723699070693987,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,60.2,21.36352030916253,9.514551493339241e-07,3.533002385606997e-08,1.0,0.0,0.23379733026006394,0.004068117049137744,0.37027549743652344,0.0,0.019870877265930176,0.004369748774246909
beta=0.003,0.003,10,0.99,10,0.24300000000000002,0.03945461527713414,0.19803215232063545,0.032496727912478686,0.24300000000000002,0.03945461527713414,0.0,0.0,0.5393338058114814,1.1702778228589004e-16,0.5229065708580933,0.05723699070693987,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,117.2,46.050214138722765,9.819399565458297e-07,1.581076464211016e-08,1.0,0.0,0.15895516442732444,0.009709939223840081,0.37027549743652344,0.0,0.0463446855545044,0.04169168426420385
beta=0.003,0.003,15,0.5,10,0.38199999999999995,0.026894857005259072,0.37264606413577744,0.03003853125129007,0.38199999999999995,0.026894857005259072,0.0,0.0,0.5154164749194663,1.1702778228589004e-16,0.5067470617576169,0.04056533301115145,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.7,0.674948557710553,5.386769771575928e-07,1.7735233821060595e-07,1.0,0.0,0.47662295596302257,0.0037274947612460176,0.37192463874816895,0.0,0.011473774909973145,0.0016837462471310913
beta=0.003,0.003,15,0.8,10,0.3935,0.032322163018929026,0.3818422607610378,0.034112609344068276,0.3935,0.032322163018929026,0.0,0.0,0.5154164749194663,1.1702778228589004e-16,0.5067470617576169,0.04056533301115145,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.6,2.913569784454954,8.727423846721649e-07,1.0808019767420786e-07,1.0,0.0,0.35221078027918223,0.0036528113232564097,0.37192463874816895,0.0,0.03142867088317871,0.0402991249938552
beta=0.003,0.003,15,0.9,10,0.39399999999999996,0.029325756597230374,0.38075737155922795,0.031970036609869606,0.39399999999999996,0.029325756597230374,0.0,0.0,0.5154164749194663,1.1702778228589004e-16,0.5067470617576169,0.04056533301115145,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.5,4.766783215358364,9.138137102127076e-07,5.5847956635813646e-08,1.0,0.0,0.2805027606289869,0.003500840027963641,0.37192463874816895,0.0,0.016593027114868163,0.0012440093789208937
beta=0.003,0.003,15,0.95,10,0.3785,0.033254072432310204,0.36062667431609946,0.037616592320853036,0.3785,0.033254072432310204,0.0,0.0,0.5154164749194663,1.1702778228589004e-16,0.5067470617576169,0.04056533301115145,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,49.1,5.4456914671651715,9.460840374231339e-07,4.569672692774341e-08,1.0,0.0,0.22354196628740852,0.003983084959679317,0.37192463874816895,0.0,0.022094869613647462,0.0064140625232797874
beta=0.003,0.003,15,0.99,10,0.2285,0.03496426747409418,0.18094941697242195,0.025941670257900104,0.2285,0.03496426747409418,0.0,0.0,0.5154164749194663,1.1702778228589004e-16,0.5067470617576169,0.04056533301115145,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,83.9,4.1486276177925525,9.784067515283824e-07,1.1209621136031858e-08,1.0,0.0,0.15675764152406937,0.009787885244123636,0.37192463874816895,0.0,0.05051758289337158,0.04784734652114429
beta=0.003,0.003,20,0.5,10,0.38450000000000006,0.028131635019829345,0.37572554243779444,0.030729942539040017,0.38450000000000006,0.028131635019829345,0.0,0.0,0.49227865477007543,5.851389114294502e-17,0.4856860430993105,0.0335425295286802,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.7,0.674948557710553,6.90016895532608e-07,2.14308749219508e-07,1.0,0.0,0.4608358660412402,0.0038536841298543907,0.3805277347564697,0.0,0.011101746559143066,0.0006936583450211589
beta=0.003,0.003,20,0.8,10,0.391,0.032981476282570754,0.378604485498368,0.03721588309922942,0.391,0.032981476282570754,0.0,0.0,0.49227865477007543,5.851389114294502e-17,0.4856860430993105,0.0335425295286802,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,0.4714045207910317,8.037779480218887e-07,1.0204735706454462e-07,1.0,0.0,0.34405475638552796,0.003454735517256543,0.3805277347564697,0.0,0.014181923866271973,0.00013253233254386247
